Ticker,Industry,Market Cap,Price,Change,Volume
MCRL,Semiconductor - Integrated Circuits,583.87,œ10.14,1.20%,"127,804.00"
MDAS,Healthcare Information Services,"1,036.15",œ17.51,-0.28%,"102,743.00"
MDSO,Healthcare Information Services,"1,968.91",œ78.17,-0.27%,"26,104.00"
MENT,Technical & System Software,"2,144.89",œ19.14,0.58%,"188,806.00"
MKTG,Application Software,690.18,œ14.11,0.28%,"143,802.00"
MORN,Information & Delivery Services,"3,619.20",œ77.91,-0.10%,"14,456.00"
MOVE,Internet Information Providers,506.01,œ12.97,0.23%,"109,359.00"
MPWR,Semiconductor - Specialized,872.03,œ24.48,1.79%,"46,812.00"
MSCC,Semiconductor - Integrated Circuits,"2,041.12",œ22.86,0.13%,"135,416.00"
MSFT,Business Software & Services,"283,874.15",œ34.08,0.40%,"9,739,719.00"
MSTR,Business Software & Services,"1,003.00",œ89.07,0.30%,"6,955.00"
MTSC,Scientific & Technical Instruments,905.33,œ57.77,0.33%,"14,395.00"
NATI,Technical & System Software,"3,411.88",œ27.73,0.22%,"48,960.00"
NCR,Information Technology Services,"5,454.48",œ33.00,-0.96%,"356,436.00"
NLSN,Information & Delivery Services,"12,588.70",œ33.94,-0.10%,"1,013,942.00"
NTAP,Data Storage Devices,"13,726.97",œ38.48,0.50%,"1,236,924.00"
NTGR,Communication Equipment,"1,211.02",œ31.89,1.21%,"139,623.00"
NUAN,Application Software,"5,899.35",œ18.77,0.40%,"655,611.00"
OMCL,Computer Based Systems,672.24,œ19.57,-1.31%,"35,571.00"
OPEN,Internet Information Providers,"1,460.86",œ64.10,0.64%,"95,986.00"
OPLK,Semiconductor - Integrated Circuits,343.66,œ18.40,1.89%,"6,827.00"
PGI,Diversified Communication Services,551.20,œ11.78,-1.51%,"28,631.00"
PKE,Semiconductor Equipment & Materials,513.62,œ24.97,1.24%,"7,371.00"
PRGS,Application Software,"1,302.68",œ23.80,0.34%,"169,451.00"
PRO,Application Software,814.95,œ29.35,-0.03%,"28,170.00"
PWER,Diversified Electronics,771.52,œ6.32,0.08%,"239,392.00"
Q,Telecom Services - Domestic,"4,985.92",œ42.60,-1.07%,"344,556.00"
QLYS,Application Software,505.16,œ16.17,0.81%,"17,505.00"
QSII,Healthcare Information Services,"1,131.87",œ18.87,-0.74%,"286,912.00"
RATE,Internet Information Providers,"1,444.68",œ14.45,0.08%,"17,171.00"
RAX,Information Technology Services,"5,245.22",œ39.82,4.57%,"843,884.00"
RHT,Application Software,"9,159.75",œ47.67,0.55%,"256,881.00"
RKUS,Computer Based Systems,983.91,œ13.46,1.51%,"443,905.00"
ROVI,Multimedia & Graphics Software,"2,277.80",œ22.71,0.26%,"169,379.00"
RP,Application Software,"1,392.89",œ18.60,-1.17%,"137,734.00"
RVBD,Information Technology Services,"2,546.89",œ15.60,0.06%,"1,095,710.00"
SAI,Information & Delivery Services,"4,680.48",œ13.78,-1.08%,"705,369.00"
SATS,Communication Equipment,"3,426.60",œ38.95,0.23%,"32,720.00"
SLH,Business Software & Services,"3,840.70",œ55.66,-0.23%,"41,042.00"
SMTC,Semiconductor - Integrated Circuits,"2,239.01",œ33.20,-0.72%,"341,922.00"
SNCR,Application Software,"1,165.36",œ30.40,-0.56%,"17,342.00"
